Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type,Final URL
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Core_Safety_Nets,safety net service bangalore,Exact match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Core_Safety_Nets,safety net company bangalore,Phrase match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Core_Safety_Nets,safety net installation near me,Exact match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Balcony_Child_Safety,child safety net installation bangalore,Exact match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Balcony_Child_Safety,balcony protection net bangalore,Phrase match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Balcony_Child_Safety,balcony net service near me,Phrase match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Bird_Pigeon_Nets,pigeon safety net service bangalore,Exact match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Bird_Pigeon_Nets,anti pigeon net installation near me,Phrase match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Bird_Pigeon_Nets,terrace pigeon net bangalore,Phrase match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Urgent_NearMe,pigeon net service near me,Exact match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Urgent_NearMe,same day pigeon net installation,Phrase match,https://vickysafetynets.co.in/
Keyword,Add,Enabled,Bangalore_Search_Leads_Vicky,Sports_Nets,cricket net installation near me,Phrase match,https://vickysafetynets.co.in/
