Row Type,Action,Keyword status,Level,Campaign,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,meaning,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,definition,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,wikipedia,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,wiki,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,ppt,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,template,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,sample,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,calculator,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,hsn code,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,gst,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,tender,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,franchise,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,distributorship,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,internship,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,3d model,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,cad,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,autocad,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,vector,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,png,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Vicky,photos,Phrase match
